глагол,общая_частота
iskočiti,30
opisivati,30
loše,30
zanositi,30
pevušiti,30
buniti,30
ponešto,30
uzdržati,30
ustuknuti,30
dunuti,30
kucati,30
zahvaliti,30
rastajati,30
zimi,29
dograbiti,29
ženiti,29
sahranjivati,29
nervozno,29
dobaciti,29
pokrivati,29
pogađati,29
podignuti,29
smešiti,29
taman,29
polagati,29
razvijati,29
snažno,29
odobravati,29
prodirati,29
predlagati,29
nežno,29
uzbuđivati,29
popreko,29
potresti,29
raspravljati,29
par,29
razboleti,29
značajno,29
izustiti,29
okružiti,29
zgrabiti,29
pozdravljati,29
skakutati,29
prezrivo,29
srediti,29
sastojati,29
izgraditi,29
sjati,28
zapovediti,28
sticati,28
negovati,28
predvideti,28
zamahnuti,28
dosađivati,28
naleteti,28
isključiti,28
muvati,28
razilaziti,28
klatiti,28
otegnuti,28
grliti,28
ginuti,28
ispiti,28
apsolutno,28
zalutati,28
gristi,28
vređati,28
kažnjavati,28
natovariti,28
stradati,28
zatezati,28
opasati,28
jecati,28
dodirnuti,28
namestiti,28
isterati,28
hitati,28
udesiti,28
sjediti,27
obarati,27
pomerati,27
navoditi,27
krasti,27
nekuda,27
umotati,27
vrtjeti,27
umoriti,27
skretati,27
odavati,27
napadati,27
poverovati,27
ukloniti,27
poludeti,27
vatreno,27
zviždati,27
pobiti,27
napuniti,27
naime,27
zakucati,27
gunđati,27
obuhvatiti,27
izvinjavati,27
uviđati,26
progunđati,26
gdje,26
naumiti,26
izlagati,26
proširiti,26
strahovito,26
isplatiti,26
izleteti,26
poručiti,26
ogledati,26
uvlačiti,26
svega,26
gutati,26
navratiti,26
prebacivati,26
skidjeti,26
predveče,26
zavaliti,26
obasjati,26
preporučiti,26
prethodno,26
pokatkad,26
grubo,26
kupati,26
prijateljski,26
zaviriti,26
stenjati,26
naglas,26
nipošto,26
poraziti,26
nameravati,26
slegati,26
pokvariti,26
usuditi,26
razlegati,26
požaliti,26
proučavati,26
propuštati,26
otkinuti,26
donekle,25
javno,25
iskupiti,25
presijavati,25
isključivo,25
upućivati,25
derati,25
sejati,25
podalje,25
vredeti,25
kvariti,25
dovikivati,25
zaštititi,25
dovući,25
nastajati,25
usuđivati,25
bojažljivo,25
izlečiti,25
ispružiti,25
oblačiti,25
skrivati,25
svakodnevno,25
popravljati,25
udahnuti,25
odrastati,25
odreći,25
odjuriti,25
osloniti,25
odmahnuti,25
oslobađati,25
izbacivati,25
izdaleka,25
obeležiti,25
zahvatiti,25
dremati,25
poželeti,25
uzdisati,25
prijaviti,25
osvanuti,24
tragati,24
dosad,24
lizati,24
podmetnuti,24
izraditi,24
otkrivati,24
namignuti,24
pop,24
ukočiti,24
izdavati,24
proneti,24
odbraniti,24
ujutro,24
letelo,24
osmehivati,24
saviti,24
skideti,24
ujedno,24
mrzeti,24
lišiti,24
nekud,24
sadržati,24
otkuda,24
prevrtati,24
zauzimati,24
drsko,24
iseći,24
primicati,24
uperiti,24
ionako,24
jeknuti,24
zaklanjati,24
prisetiti,24
prenijeti,24
široko,24
mirovati,23
prisiliti,23
ovdje,23
malko,23
ponajviše,23
zidati,23
sastavljati,23
sakupljati,23
rasturiti,23
zakačiti,23
prenuti,23
kolebati,23
zastajati,23
iskriviti,23
zalupiti,23
uvis,23
oprati,23
kopati,23
napredovati,23
zadesiti,23
posaditi,23
oduševiti,23
odabrati,23
poteći,23
zbaciti,23
prelivati,23
savlađivati,23
naneti,23
izmučiti,23
klati,23
potvrđivati,23
smirivati,23
kuvati,23
posedovati,23
triput,23
događati,23
pokupiti,23
usniti,23
počiniti,23
odmeriti,23
razdvojiti,23
opkoliti,23
ščepati,22
sitno,22
tumačiti,22
prikrivati,22
podjednako,22
štedeti,22
unijeti,22
sagledati,22
ogorčiti,22
ushititi,22
uporediti,22
iskrsnuti,22
preturati,22
otkad,22
hitro,22
naslutiti,22
izreći,22
prodreti,22
dosaditi,22
svući,22
potrošiti,22
dirnuti,22
slomiti,22
pohitati,22
utešiti,22
zaputiti,22
zakloniti,22
studirati,22
opustiti,22
organizovati,22
prineti,22
podsmevati,22
prevrnuti,22
milovati,22
gorjeti,22
stupati,22
ikada,22
navraćati,22
doterati,22
dosetiti,22
očistiti,22
započeti,22
smeniti,22
odozdo,22
zabaciti,22
dotrčati,22
upropastiti,22
sklapati,21
kamoli,21
planuti,21
iščezavati,21
začuđeno,21
preseliti,21
nameniti,21
podsetiti,21
nesumnjivo,21
odjeći,21
zalaziti,21
silno,21
olakšati,21
obnavljati,21
prepričavati,21
nemirno,21
lupkati,21
prozvati,21
udaljivati,21
preskakati,21
večno,21
poklanjati,21
skupo,21
smišljati,21
potajno,21
zamuckivati,21
uzdizati,21
navesti,21
pogubiti,21
mucati,21
osvestiti,21
jedanput,21
stišati,21
predviđati,21
usprotiviti,21
napipati,21
zbiti,21
izbeći,21
bojiti,21
delimično,21
protezati,21
odmarati,21
izvestiti,21
komandovati,21
poznaditi,21
doviknuti,21
koštati,21
smešno,21
likovati,21
nagovoriti,21
propadati,21
srušiti,21
okupljati,21
zavijati,21
okupati,21
protiviti,21
slivati,21
uvijek,20
ispeti,20
strepiti,20
uznemireno,20
neodoljivo,20
zapeti,20
naizmenično,20
osnovati,20
bleštati,20
streljati,20
privesti,20
slično,20
štititi,20
ujedati,20
obuhvatati,20
sprečavati,20
prihvatati,20
objavljivati,20
itd.,20
pošteno,20
gađati,20
ravnodušno,20
hladiti,20
pomaljati,20
nastaniti,20
pući,20
istaći,20
šibati,20
odseći,20
onamo,20
iznijeti,20
obazirati,20
strpljivo,20
postupati,20
prezivati,20
glatko,20
grebati,20
zavoleti,20
nehotice,20
ironično,20
isprazniti,20
nepomično,20
zaigrati,20
odzvanjati,20
udaljavati,20
nagraditi,20
skameniti,20
kliziti,20
prošetati,20
spaliti,20
oduzimati,20
dozvati,20
razbijati,20
usporiti,20
uspraviti,20
pretpostaviti,20
naginjati,20
širom,20
makar,20
prepoznavati,20
raspolagati,19
raspoređivati,19
unatrag,19
otvorisati,19
oštetiti,19
vežbati,19
čudnovato,19
začusiti,19
pomešati,19
odupreti,19
opremiti,19
razjasniti,19
prenoćiti,19
ispuštati,19
ljuljati,19
žvakati,19
naoko,19
pritiskivati,19
uloviti,19
kočiti,19
hitno,19
svideti,19
oklevati,19
pljuvati,19
doma,19
ustupiti,19
užasno,19
ponositi,19
pobuniti,19
zakoračiti,19
zalepiti,19
militi,19
njihati,19
preskočiti,19
ulevo,19
vrisnuti,19
zaželeti,19
posavetovati,19
pogrešiti,19
prirediti,19
zakleti,19
pljesnuti,19
pocrveneti,19
spajati,19
preuzeti,19
preporučivati,19
brižljivo,19
dotakati,19
susresti,19
drhteti,19
otrovati,19
nagovarati,19
izveštavati,19
meširiti,18
podržati,18
pecati,18
obavezno,18
spomenuti,18
snositi,18
preduzimati,18
smakati,18
sazdati,18
izmiriti,18
dosadno,18
ustanoviti,18
odnijeti,18
povrediti,18
pogrešno,18
obnoviti,18
onoliko,18
nepovratno,18
prepirati,18
sklanjati,18
procediti,18
pozajmiti,18
tad,18
slatko,18
proglasiti,18
bolno,18
zagrejati,18
izneveriti,18
zasada,18
dokopati,18
polomiti,18
izbezumiti,18
nadolje,18
raspoložiti,18
neodlučno,18
umakati,18
ozdraviti,18
optužiti,18
ošinuti,18
razgovetno,18
okusiti,18
začas,18
žrtvovati,18
odsesti,18
zujati,18
