глагол,общая_частота
paziti,234
usporiti,234
dopadati,234
formulisati,234
utjecati,233
izbiti,233
nadograditi,233
nati,232
premašiti,232
viđati,232
idemiti,231
prekidati,231
detektovati,231
izostati,230
ometati,230
učimiti,229
dokumentovati,228
popunjavati,228
izjasniti,228
izvestiti,228
apelivati,227
nađetati,227
registrirati,226
udariti,226
svrstati,226
uhapsiti,226
ustati,226
ocijeniti,225
upitati,225
otputovati,225
cena,224
zaobići,224
obožavati,223
čuditi,223
čuo,223
lansirati,223
pridruživati,223
uviditi,223
oboriti,222
zabavljati,221
sadržavati,221
trgovati,220
porediti,220
ugati,220
pospešivati,220
načiniti,220
odetiti,219
afirmisati,219
zabrinjavati,218
upustiti,218
uvideti,218
pretražiti,218
saznavati,218
donijeti,217
pojasniti,217
fotografisati,217
zaostajati,217
klikneti,217
proslavljati,216
stojati,216
unijeti,216
oživeti,216
obučiti,216
svrstavati,216
opremiti,216
prevoziti,215
raspisivati,215
iziskovati,215
zadovoljati,215
citirati,214
uvasti,214
kvalifikovati,213
prenijeti,213
usporavati,212
žao,212
izvući,211
sudjelovati,211
zamisati,210
produbiti,210
pogoršati,210
propisati,210
utvrđovati,209
optuživati,209
tj.,209
brojiti,209
uvažavati,209
zadesiti,209
ispoštovati,208
smeštati,208
uzmeti,208
sastavljati,208
poželiti,208
usavršiti,207
zahtjevati,207
pomakniti,207
odavati,206
obradovati,205
starati,205
skinuti,205
poveriti,205
valjati,204
proticati,204
opterećivati,204
poduzeti,203
razdvajati,203
pregledavati,203
izgovarati,203
moderirati,203
evidentirati,202
apsorbovati,202
praktikovati,201
naslediti,201
opravdavati,201
reflektovati,201
izrasti,201
pojednostaviti,201
diktirati,201
zanemarivati,200
nagraditi,200
npr.,200
izreći,199
uzvratiti,199
opasti,199
usklađivati,198
razumivati,198
rušiti,198
ulivati,198
rizikovati,198
zovesti,198
startovati,198
odlažiti,198
skrivati,197
zabaviti,196
intervenisati,196
tužiti,196
zamišljati,196
ublažavati,196
izvučiti,195
medjati,195
podešavati,195
skupiti,194
dodeti,194
poslušati,194
sipati,194
imatti,194
br.niti,194
zamijeniti,194
napadati,194
prebacivati,194
provestiti,193
uplaćivati,193
ugovoriti,193
uzdizati,193
skratiti,192
nazad,191
upišiti,191
nabavljati,191
sam,190
