base_verb,prefixed_verb,prefix,freq_base,freq_base,freq_prefixed,freq_prefixed
valiti,prevaliti,pre,29,261,198,201
žmuriti,zažmuriti,za,90,92,198,200
bledeti,prebledeti,pre,153,459,197,197
ići,razići,raz,9434,57248,197,206
motati,umotati,u,185,1111,194,195
slikati,naslikati,na,236,726,193,198
rezati,urezati,u,79,791,193,198
gušiti,prigušiti,pri,409,1239,192,195
glasiti,naglasiti,na,290,1250,192,1093
vesti,zavesti,za,48,539,191,197
grejati,zagrejati,za,183,747,191,201
ceniti,proceniti,pro,235,967,191,299
okupiti,zaokupiti,za,457,740,191,194
padati,propadati,pro,2594,18264,191,205
valiti,provaliti,pro,29,261,190,194
krasiti,ukrasiti,u,78,138,187,197
viriti,proviriti,pro,362,1811,187,187
skočiti,preskočiti,pre,982,6922,187,217
moriti,umoriti,u,149,747,186,191
miti,umiti,u,346,1041,186,562
riti,zariti,za,75,300,186,193
čekati,pričekati,pri,5720,17508,186,199
ložiti,uložiti,u,97,874,185,389
raditi,izraditi,iz,7532,64503,185,427
upreti,odupreti,od,164,328,184,193
nositi,zanositi,za,4409,57916,183,184
viti,uviti,u,221,2431,183,185
piti,napiti,na,1844,7435,182,367
plaviti,preplaviti,pre,101,206,181,188
kloniti,nakloniti,na,68,344,181,181
domisliti,predomisliti,pre,7,15,181,191
klanjati,zaklanjati,za,215,649,180,184
žeti,prožeti,pro,1995,5985,179,187
ticati,proticati,pro,1501,10978,178,208
nositi,prinositi,pri,4409,57916,177,362
trčati,pritrčati,pri,1327,7978,177,177
deliti,dodeliti,do,844,3603,177,282
uzdati,obuzdati,ob,142,571,177,186
maknuti,promaknuti,pro,233,1864,176,176
uzimati,oduzimati,od,1280,9133,175,216
seći,odseći,od,246,1970,175,178
javiti,najaviti,na,1382,8457,174,442
slediti,naslediti,na,771,2533,174,195
govoriti,nagovoriti,na,13834,139978,173,177
kovati,prikovati,pri,114,344,172,172
interesovati,zainteresovati,za,205,247,171,187
poručiti,preporučiti,pre,221,540,171,253
mešati,izmešati,iz,717,2200,171,179
ložiti,naložiti,na,97,874,170,195
moći,domoći,do,46606,110401,170,172
valiti,zavaliti,za,29,261,169,170
davati,pridavati,pri,2395,22346,167,207
boleti,razboleti,raz,630,1895,167,176
brzati,ubrzati,u,22,22,166,277
pustiti,upustiti,u,2341,16513,166,191
šiti,sušiti,su,120,481,166,521
pasti,pripasti,pri,3900,19608,165,222
dužiti,zadužiti,za,41,170,165,181
koračiti,zakoračiti,za,9,18,164,179
skakati,preskakati,pre,509,2042,164,166
vraćati,odvraćati,od,2954,9115,164,166
zvati,dozvati,do,3963,24025,163,166
ljubiti,priljubiti,pri,1005,5033,162,162
terati,doterati,do,632,4451,161,163
pevati,zapevati,za,1235,2532,161,162
seliti,naseliti,na,108,550,160,176
maknuti,umaknuti,u,233,1864,159,159
groziti,ugroziti,u,27,28,157,236
vijati,uvijati,u,60,722,157,316
viti,izviti,iz,221,2431,156,156
dati,zadati,za,5896,54495,156,190
valiti,navaliti,na,29,261,156,156
plašiti,preplašiti,pre,1454,4443,155,158
voditi,odvoditi,od,5046,56924,155,170
vući,provući,pro,1348,14834,154,158
davati,udavati,u,2395,22346,153,154
loviti,uloviti,u,243,251,153,157
kopati,zakopati,za,303,1526,153,159
stupiti,pristupiti,pri,452,2866,153,470
stavljati,sastavljati,sa,934,5825,153,179
pomenuti,napomenuti,na,711,1554,151,303
jesti,ujesti,u,2096,4264,151,152
pisati,prepisati,pre,3704,26386,151,157
pisati,pripisati,pri,3704,26386,151,170
puštati,upuštati,u,786,4759,151,159
baciti,zabaciti,za,2546,20423,151,153
skratiti,uskratiti,u,112,137,149,173
kucati,zakucati,za,329,1323,149,152
boleti,zaboleti,za,630,1895,149,150
kačiti,zakačiti,za,46,139,147,153
davati,zadavati,za,2395,22346,147,151
diviti,zadiviti,za,403,422,146,153
krcati,ukrcati,u,8,16,146,155
porediti,uporediti,u,102,118,145,227
leteti,naleteti,na,242,2665,145,149
baviti,zabaviti,za,1006,7505,145,177
pasti,prepasti,pre,3900,19608,145,145
lupiti,zalupiti,za,123,124,144,144
stupati,nastupati,na,213,1113,144,308
vijati,izvijati,iz,60,722,144,144
lagati,nalagati,na,732,5866,143,174
hoditi,uhoditi,u,164,328,143,144
crtati,nacrtati,na,103,433,142,152
dati,uzdati,uz,5896,54495,142,571
spavati,uspavati,u,3002,15366,142,143
lagati,odlagati,od,732,5866,142,163
trebati,zatrebati,za,13890,18569,141,165
učiti,proučiti,pro,1173,8449,140,169
vijati,zavijati,za,60,722,140,143
roniti,uroniti,u,41,169,139,148
igrati,zaigrati,za,2814,20305,139,145
daviti,udaviti,u,287,873,139,142
stizati,pristizati,pri,791,3348,139,152
lutati,zalutati,za,583,1175,139,144
tovariti,natovariti,na,79,239,139,140
ustajati,odustajati,od,700,1412,138,179
lepiti,zalepiti,za,125,884,138,149
vući,razvući,raz,1348,14834,138,140
