word,frequency
увлачити,18
свега,18
освртати,18
запети,18
бунити,18
убацити,18
расправљати,18
преживети,18
издавати,18
пронети,18
упоредити,18
размислити,18
припремити,18
настајати,18
скупљати,18
гутати,18
залутати,18
пар,18
искрснути,18
гристи,18
наизменично,18
наменити,18
разболети,18
подсетити,18
утицати,18
испратити,18
усуђивати,18
допасти,18
пренути,18
nisko,18
neprimetno,18
rđavo,18
колебати,18
обићи,18
несумњиво,18
претурати,18
заћи,18
застајати,18
распоређивати,18
кажњавати,18
унатраг,18
покретати,18
вечерати,18
устајати,18
одбранити,18
ujutro,18
značajno,18
svečano,18
namerno,18
letelo,18
uvis,18
otuda,18
украсити,17
опрати,17
основати,17
бојажљиво,17
звонити,17
промицати,17
навратити,17
одвући,17
промрмљати,17
залазити,17
окупити,17
силно,17
откад,17
пожурити,17
савити,17
олакшати,17
страдати,17
копати,17
обнављати,17
одбацити,17
рђаво,17
напредовати,17
задесити,17
подржати,17
присуствовати,17
оштетити,17
звучити,17
блештати,17
потрчати,17
уклонити,17
пребацивати,17
препричавати,17
признавати,17
затезати,17
полазити,17
вешати,17
преписивати,17
вежбати,17
посадити,17
понешто,17
obavezno,17
čudnovato,17
jutros,17
prijatno,17
dočno,17
maločas,17
visoko,17
предвече,17
уједно,17
ницати,17
сносити,17
мрзети,17
излечити,17
посебно,17
окачити,17
slabo,17
dostojanstveno,17
vatreno,17
nemirno,17
večeras,17
опасати,16
прозвати,16
обасјати,16
изустити,16
окружити,16
ручати,16
хитро,16
привести,16
предузимати,16
помешати,16
слично,16
препоручити,16
удаљивати,16
одушевити,16
одабрати,16
радовати,16
претходно,16
хајдемо,16
покаткад,16
приказивати,16
звиждати,16
одупрети,16
штитити,16
наслутити,16
убедити,16
грубо,16
притрчати,16
лишити,16
сручити,16
прескакати,16
изрећи,16
побити,16
дунути,16
вечно,16
поклањати,16
продрети,16
почесити,16
пјевати,16
заноћити,16
мирити,16
опомињати,16
потећи,16
опремити,16
уједати,16
обухватати,16
povremeno,16
prijateljski,16
surovo,16
свакодневно,15
