infinitive_latin,frequency,infinitive_latin_norm
учествовати,56,učestvovati
везивати,56,vezivati
postajati,56,postajati
obično,56,obično
pronaći,56,pronaći
umrijeti,56,umrijeti
nikad,56,nikad
sresti,56,sresti
uznemiriti,56,uznemiriti
lično,56,lično
ubrzo,56,ubrzo
обратити,55,obratiti
изговарати,55,izgovarati
smiriti,55,smiriti
uskoro,55,uskoro
svakako,55,svakako
osloboditi,55,osloboditi
спазити,54,spaziti
обраћати,54,obraćati
склопити,54,sklopiti
дићи,54,dići
палити,54,paliti
оборити,54,oboriti
напротив,54,naprotiv
донијети,54,donijeti
признати,54,priznati
лево,54,levo
roditi,54,roditi
osvrnuti,54,osvrnuti
juriti,54,juriti
vući,54,vući
крстити,54,krstiti
опазити,54,opaziti
редовно,53,redovno
изазвати,53,izazvati
оженити,53,oženiti
сићи,53,sići
додуше,53,doduše
куповати,53,kupovati
хранити,53,hraniti
објашњавати,53,objašnjavati
повести,53,povesti
odbiti,53,odbiti
spuštati,53,spuštati
odavde,53,odavde
napraviti,53,napraviti
skidati,53,skidati
dole,53,dole
однекуд,52,odnekud
узвратити,52,uzvratiti
сахранити,52,sahraniti
судити,52,suditi
оштро,52,oštro
лечити,52,lečiti
obući,52,obući
lagano,52,lagano
ljubiti,52,ljubiti
zbuniti,52,zbuniti
ponoviti,52,ponoviti
telefonirati,52,telefonirati
odista,52,odista
покушати,51,pokušati
неочекивано,51,neočekivano
напред,51,napred
поновити,51,ponoviti
борити,51,boriti
заузети,51,zauzeti
угасити,51,ugasiti
будити,51,buditi
уверавати,51,uveravati
kriti,51,kriti
paziti,51,paziti
potrčati,51,potrčati
ticati,51,ticati
odlično,51,odlično
pojuriti,51,pojuriti
zapanjiti,51,zapanjiti
дигнути,50,dignuti
отпочети,50,otpočeti
погодити,50,pogoditi
ходати,50,hodati
шетати,50,šetati
побећи,50,pobeći
назвати,50,nazvati
упознати,50,upoznati
наилазити,50,nailaziti
избегавати,50,izbegavati
изненада,50,iznenada
дању,50,danju
zastati,50,zastati
lagati,50,lagati
lupiti,50,lupiti
gore,50,gore
nadati,50,nadati
посве,50,posve
усправно,50,uspravno
познати,50,poznati
šaputati,50,šaputati
uhapsiti,50,uhapsiti
ујутру,49,ujutru
издржати,49,izdržati
близу,49,blizu
одакле,49,odakle
продужити,49,produžiti
допирати,49,dopirati
утврдити,49,utvrditi
одбијати,49,odbijati
prekriti,49,prekriti
javiti,49,javiti
upoznati,49,upoznati
gurnuti,49,gurnuti
записати,48,zapisati
живо,48,živo
набавити,48,nabaviti
примећивати,48,primećivati
скинути,48,skinuti
успевати,48,uspevati
гласити,48,glasiti
изнети,48,izneti
корачати,48,koračati
силазити,48,silaziti
откако,48,otkako
вероватно,48,verovatno
složiti,48,složiti
poljubiti,48,poljubiti
rešiti,48,rešiti
попити,47,popiti
издати,47,izdati
повремено,47,povremeno
високо,47,visoko
умирити,47,umiriti
објавити,47,objaviti
стога,47,stoga
обилазити,47,obilaziti
izvesti,47,izvesti
pomalo,47,pomalo
sići,47,sići
prepoznati,47,prepoznati
skupiti,47,skupiti
однети,46,odneti
зачути,46,začuti
заспати,46,zaspati
махати,46,mahati
проводити,46,provoditi
дрхтати,46,drhtati
заустављати,46,zaustavljati
dodati,46,dodati
bacati,46,bacati
uzimati,46,uzimati
beh,46,beh
гасити,45,gasiti
јурити,45,juriti
замишљати,45,zamišljati
сложити,45,složiti
направити,45,napraviti
пружати,45,pružati
прилазити,45,prilaziti
обећати,45,obećati
урадити,45,uraditi
возити,45,voziti
затећи,45,zateći
потражити,45,potražiti
трошити,45,trošiti
испитивати,45,ispitivati
prebaciti,45,prebaciti
savladati,45,savladati
nekada,45,nekada
ljutiti,45,ljutiti
otputovati,45,otputovati
осудити,45,osuditi
spasti,45,spasti
izvaditi,45,izvaditi
ишчезнути,44,iščeznuti
тицати,44,ticati
сакрити,44,sakriti
плаћати,44,plaćati
покрити,44,pokriti
продавати,44,prodavati
бележити,44,beležiti
страшно,44,strašno
стављати,44,stavljati
преводити,44,prevoditi
ukratko,44,ukratko
suditi,44,suditi
približavati,44,približavati
obraćati,44,obraćati
извршити,44,izvršiti
слагати,44,slagati
visiti,44,visiti
smeškati,44,smeškati
ретко,43,retko
понудити,43,ponuditi
тући,43,tući
икад,43,ikad
малочас,43,maločas
виђати,43,viđati
предавати,43,predavati
затварати,43,zatvarati
покушавати,43,pokušavati
чудити,43,čuditi
рушити,43,rušiti
otvarati,43,otvarati
stavljati,43,stavljati
zaspati,43,zaspati
kud,43,kud
pevati,43,pevati
smetati,43,smetati
neočekivano,43,neočekivano
polako,43,polako
viknuti,43,viknuti
слутити,43,slutiti
prihvatiti,43,prihvatiti
besno,43,besno
počesiti,43,počesiti
рађати,42,rađati
поклонити,42,pokloniti
зачудити,42,začuditi
испуњавати,42,ispunjavati
слабо,42,slabo
слободно,42,slobodno
разбити,42,razbiti
пуцати,42,pucati
проговорити,42,progovoriti
нестајати,42,nestajati
преносити,42,prenositi
pobeći,42,pobeći
natrag,42,natrag
puštati,42,puštati
pokloniti,42,pokloniti
prvo,42,prvo
ujutru,42,ujutru
ljutito,42,ljutito
svratiti,42,svratiti
uznemiravati,42,uznemiravati
koristiti,42,koristiti
klimnuti,42,klimnuti
седати,41,sedati
дружити,41,družiti
почивати,41,počivati
скочити,41,skočiti
насмејати,41,nasmejati
одржавати,41,održavati
схватати,41,shvatati
мирисати,41,mirisati
voziti,41,voziti
verovatno,41,verovatno
lupati,41,lupati
propasti,41,propasti
glasno,41,glasno
blizu,41,blizu
platiti,41,platiti
baviti,41,baviti
tržati,41,tržati
кратко,40,kratko
висити,40,visiti
препознати,40,prepoznati
положити,40,položiti
избацити,40,izbaciti
одбити,40,odbiti
доживети,40,doživeti
свакако,40,svakako
бројати,40,brojati
уживати,40,uživati
пољубити,40,poljubiti
поделити,40,podeliti
pucati,40,pucati
pružati,40,pružati
približiti,40,približiti
pogoditi,40,pogoditi
probiti,40,probiti
terati,40,terati
pušiti,40,pušiti
slati,40,slati
veselo,40,veselo
прилично,39,prilično
лупати,39,lupati
зависити,39,zavisiti
изразити,39,izraziti
поменути,39,pomenuti
збунити,39,zbuniti
ступити,39,stupiti
једноставно,39,jednostavno
завршавати,39,završavati
саградити,39,sagraditi
указати,39,ukazati
сместити,39,smestiti
dogoditi,39,dogoditi
pretvoriti,39,pretvoriti
žuriti,39,žuriti
odvojiti,39,odvojiti
otkriti,39,otkriti
dozvoliti,39,dozvoliti
svuda,39,svuda
prošaptati,39,prošaptati
sedati,39,sedati
ispasti,39,ispasti
svirati,39,svirati
provesti,39,provesti
boriti,39,boriti
ispustiti,39,ispustiti
preplašiti,39,preplašiti
zadržati,39,zadržati
oboriti,39,oboriti
sručiti,39,sručiti
спремити,38,spremiti
размишљати,38,razmišljati
наступити,38,nastupiti
збиља,38,zbilja
пећи,38,peći
насликати,38,naslikati
одјекивати,38,odjekivati
ломити,38,lomiti
сачекати,38,sačekati
решавати,38,rešavati
разликовати,38,razlikovati
