word,frequency,comment
очигледно,78,не похоже на глагол
уплашити,78,не похоже на глагол
пазити,78,не похоже на глагол
živo,78,не похоже на глагол
изговорити,77,не похоже на глагол
пушити,77,не похоже на глагол
извести,77,не похоже на глагол
написати,77,не похоже на глагол
престати,77,не похоже на глагол
овамо,77,не похоже на глагол
пре,77,не похоже на глагол
maločas,77,не похоже на глагол
горе,77,не похоже на глагол
платити,76,не похоже на глагол
задржати,76,не похоже на глагол
извући,76,не похоже на глагол
надати,76,не похоже на глагол
slabo,76,не похоже на глагол
hajdemo,76,не похоже на глагол
куда,75,не похоже на глагол
научити,75,не похоже на глагол
uporno,75,не похоже на глагол
iskreno,75,не похоже на глагол
доста,74,не похоже на глагол
испричати,74,не похоже на глагол
помагати,74,не похоже на глагол
svejedno,74,не похоже на глагол
догодити,74,не похоже на глагол
изаћи,73,не похоже на глагол
пријећи,73,не похоже на глагол
вредити,73,не похоже на глагол
навићи,73,не похоже на глагол
прихватити,73,не похоже на глагол
дотле,73,не похоже на глагол
doduše,73,не похоже на глагол
vešto,73,не похоже на глагол
прво,72,не похоже на глагол
прекинути,72,не похоже на глагол
напуштати,72,не похоже на глагол
споро,72,не похоже на глагол
strogo,72,не похоже на глагол
доле,72,не похоже на глагол
нигде,71,не похоже на глагол
изменити,71,не похоже на глагол
nimalo,71,не похоже на глагол
жалити,70,не похоже на глагол
убрзо,70,не похоже на глагол
подизати,70,не похоже на глагол
претворити,70,не похоже на глагол
стварно,70,не похоже на глагол
nazad,70,не похоже на глагол
otvoreno,70,не похоже на глагол
представљати,69,не похоже на глагол
претварати,69,не похоже на глагол
куд,69,не похоже на глагол
унапред,69,не похоже на глагол
ozbiljno,69,не похоже на глагол
застати,68,не похоже на глагол
натраг,68,не похоже на глагол
ударати,68,не похоже на глагол
сачувати,68,не похоже на глагол
изненадити,68,не похоже на глагол
понети,68,не похоже на глагол
плакати,68,не похоже на глагол
nisko,68,не похоже на глагол
nestrpljivo,68,не похоже на глагол
konačno,68,не похоже на глагол
sinoć,68,не похоже на глагол
вели,67,не похоже на глагол
спасти,67,не похоже на глагол
трудити,67,не похоже на глагол
изјавити,67,не похоже на глагол
večeras,67,не похоже на глагол
jutros,66,не похоже на глагол
zdravo,66,не похоже на глагол
neprimetno,66,не похоже на глагол
узбудити,65,не похоже на глагол
помишљати,65,не похоже на глагол
мешати,65,не похоже на глагол
свирати,64,не похоже на глагол
преварити,64,не похоже на глагол
називати,64,не похоже на глагол
десно,64,не похоже на глагол
користити,64,не похоже на глагол
svečano,64,не похоже на глагол
