base_verb,prefixed_verb,prefix,freq_base,freq_prefixed,,prefix,base_verb
padati,propadati,pro,8221,15,,,mjeriti
valiti,provaliti,pro,8221,13,,,trnuti
krasiti,ukrasiti,u,8221,8,,,menjati
viriti,proviriti,pro,8170,7836,,,derati
skočiti,preskočiti,pre,8170,4079,,,motriti
moriti,umoriti,u,8170,551,,,jariti
miti,umiti,u,8170,177,,,obilaziti
riti,zariti,za,8170,40,,,letati
čekati,pričekati,pri,8089,2491,,,besneti
ložiti,uložiti,u,8089,387,,,jaditi
raditi,izraditi,iz,8089,36,,,niknuti
upreti,odupreti,od,8063,256,,,režati
nositi,zanositi,za,8063,180,,,lomiti
viti,uviti,u,8063,81,,,uzdavati
piti,napiti,na,8063,55,,,sijati
plaviti,preplaviti,pre,8063,44,,,vapiti
kloniti,nakloniti,na,8063,18,,,slagati
domisliti,predomisliti,pre,7962,106,,,mutiti
klanjati,zaklanjati,za,7962,75,,,štedeti
žeti,prožeti,pro,7962,58,,,čistiti
ticati,proticati,pro,7962,60,,,tresti
nositi,prinositi,pri,7962,48,,,grabiti
trčati,pritrčati,pri,7962,45,,,krotiti
deliti,dodeliti,do,7962,5,,,rešiti
uzdati,obuzdati,ob,7866,379,,,izlaziti
maknuti,promaknuti,pro,7866,77,,,turiti
uzimati,oduzimati,od,7866,175,,,voliti
seći,odseći,od,7866,20,,,vitlati
javiti,najaviti,na,7245,19,,,pipati
slediti,naslediti,na,7245,8,,,dremati
govoriti,nagovoriti,na,7205,325,,,ganjati
kovati,prikovati,pri,7205,137,,,koriti
interesovati,zainteresovati,za,7205,132,,,kratiti
poručiti,preporučiti,pre,7205,67,,,rugati
mešati,izmešati,iz,7205,29,,,jačati
ložiti,naložiti,na,7205,27,,,ljuljati
moći,domoći,do,7205,17,,,blistati
valiti,zavaliti,za,7145,435,,,trošiti
davati,pridavati,pri,7145,425,,,hteti
boleti,razboleti,raz,7068,4133,,,sezati
brzati,ubrzati,u,7068,361,,,šarati
pustiti,upustiti,u,7068,858,,,ostaviti
šiti,sušiti,su,7068,31,,,poloviti
pasti,pripasti,pri,7068,42,,,siktati
dužiti,zadužiti,za,7068,9,,,spravljati
koračiti,zakoračiti,za,6980,148,,,kršiti
skakati,preskakati,pre,6977,57,,,mirisati
vraćati,odvraćati,od,6576,293,,,čuljiti
zvati,dozvati,do,6576,32,,,škoditi
ljubiti,priljubiti,pri,6576,7,,,sedeti
terati,doterati,do,6546,55,,,plesti
pevati,zapevati,za,6546,13,,,vrtiti
seliti,naseliti,na,6468,69,,,grebati
maknuti,umaknuti,u,6468,48,,,pajati
groziti,ugroziti,u,6464,1235,,,bežati
vijati,uvijati,u,6464,488,,,denuti
viti,izviti,iz,6262,135,,,šaptati
dati,zadati,za,6262,102,,,stradati
valiti,navaliti,na,6262,30,,,brazdati
plašiti,preplašiti,pre,6260,589,,,verati
voditi,odvoditi,od,6260,2413,,,prinositi
vući,provući,pro,6260,323,,,uveriti
davati,udavati,u,6260,430,,,saviti
loviti,uloviti,u,6260,24,,,pričati
