глагол,частота
zakupiti,30
smjestiti,30
učestovati,30
skroziti,30
kreniti,30
trijumfovati,30
upuštati,30
iznedriti,30
grešiti,30
skreneti,30
osnaživati,30
jeseti,30
pojesti,30
zadužiti,30
dopunjavati,30
osvrneti,30
podseti,30
rangirati,30
mobilisati,30
provera,30
opsluživati,30
primoravati,30
nasmejati,30
portfoliti,30
ispadati,30
goniti,30
pravdati,30
prilagati,30
uzmetiti,30
smetati,30
popivati,30
rezultovati,30
razgledati,30
suspendovati,30
zaokruživati,30
savjetovati,29
stanovati,29
uslijediti,29
balansirati,29
posviti,29
raslati,29
izmiriti,29
oživljavati,29
spojati,29
uštetiti,29
doputovati,29
prijavljiveti,29
ubacovati,29
protećati,29
prelivati,29
tranzitirati,29
rezervirati,29
sniziti,29
slikati,29
odvratiti,29
verifikovati,29
izmijeniti,29
*,29
specijalizovati,29
artikulisati,29
eksploatisati,29
prezentirati,29
izdržavati,29
mir,29
dižati,29
preseti,29
pijati,29
pročiti,29
mrziti,29
osmišljavati,29
poveći,29
violončeti,29
