type,verb,frequency,prefix,base_verb,derivatives_count
DERIVATIVE,preletiti,2,pre,letiti,
DERIVATIVE,naletiti,2,na,letiti,
DERIVATIVE,izletiti,1,iz,letiti,
DERIVATIVE,proletiti,1,pro,letiti,
DERIVATIVE,odletiti,1,od,letiti,
BASE,lažiti,16,,lažiti,7
DERIVATIVE,odlažiti,32,od,lažiti,
DERIVATIVE,razlažiti,7,raz,lažiti,
DERIVATIVE,ulažiti,7,u,lažiti,
DERIVATIVE,izlažiti,5,iz,lažiti,
DERIVATIVE,vlažiti,2,v,lažiti,
DERIVATIVE,zalažiti,2,za,lažiti,
DERIVATIVE,polažiti,2,po,lažiti,
BASE,siti,9,,siti,7
DERIVATIVE,presiti,7,pre,siti,
DERIVATIVE,prisiti,6,pri,siti,
DERIVATIVE,prositi,3,pro,siti,
DERIVATIVE,zasiti,2,za,siti,
DERIVATIVE,dositi,1,do,siti,
DERIVATIVE,ositi,1,o,siti,
DERIVATIVE,prsiti,1,pr,siti,
BASE,miriti,5,,miriti,7
DERIVATIVE,smiriti,30,s,miriti,
DERIVATIVE,pomiriti,27,po,miriti,
DERIVATIVE,izmiriti,12,iz,miriti,
DERIVATIVE,umiriti,9,u,miriti,
DERIVATIVE,podmiriti,8,pod,miriti,
DERIVATIVE,namiriti,2,na,miriti,
DERIVATIVE,primiriti,1,pri,miriti,
BASE,seti,2,,seti,7
DERIVATIVE,podseti,17,pod,seti,
DERIVATIVE,preseti,10,pre,seti,
DERIVATIVE,poseti,5,po,seti,
DERIVATIVE,useti,3,u,seti,
