глагол,частота
profitirati,47
zagrevati,46
obilježiti,46
odlažiti,46
poklapati,46
izviniti,46
skenirati,46
dodirnuti,46
počniti,46
prosleđivati,46
ispisati,46
vrtiti,45
održiti,45
maći,45
izdržavati,45
čistiti,45
doprinijeti,45
primoravati,45
hidrocentrati,45
ustupiti,45
manipulisati,45
svjedočiti,45
uštediti,45
saobraćati,45
zloupotrebljavati,44
sklapati,44
mobilisati,44
podvući,44
valjati,44
publikovati,44
otežati,44
školivati,44
podležiti,44
uskratiti,44
iznedriti,44
reprodukovati,44
pospešiti,44
izreći,44
prikažiti,44
nazad,44
ilustrojati,44
letiti,44
usloviti,44
otiti,44
pomiriti,44
zagađivati,44
skraćivati,44
dotaći,43
medjutiti,43
posredovati,43
objediniti,43
boliti,43
izostajati,43
nadovezovati,43
ispasti,43
smetati,43
posluživati,43
prisećati,43
hati,43
kandidovati,43
pristajati,43
učestati,43
podela,43
ceti,42
ugasti,42
založiti,42
osporavati,42
smirovati,42
prevarati,42
prokomentarisati,42
čestići,42
zastati,42
zaraziti,42
zaljubiti,42
dodirati,42
nađati,42
pošlati,42
proučiti,42
kaći,42
tipkiti,42
propasti,42
zaokružiti,42
obogaćivati,42
ilustrovati,42
upotpunjivati,42
piseti,42
pristizati,42
preusmeriti,42
modernizovati,42
pritisnuti,41
kriviti,41
prekrivati,41
požeti,41
preduprediti,41
faliti,41
pokupiti,41
suprotstavljati,41
apelujati,41
proisteći,41
postigneti,41
rasporediti,41
dodjeljivati,40
sjediniti,40
zastareti,40
nadmašiti,40
spojati,40
podrivati,40
preskočiti,40
zaposti,40
crtati,40
podigniti,40
pripisati,40
demantovati,40
doživjeti,40
dvati,40
dočeći,40
pogrešiti,40
dodirneti,40
nagrađivati,40
vjerivati,40
ostaniti,40
širok,40
reagirati,40
posavetovati,40
korigovati,39
uzgajati,39
ohladiti,39
isplanirati,39
osnaživati,39
slikati,39
uzmetiti,39
doputovati,39
servirati,39
nagovestiti,39
probijati,39
rangirati,39
eskalirati,39
odmarati,39
prebroditi,39
pakovati,39
upariti,39
pobeđivati,39
približati,39
ceniti,39
pobegniti,38
pišiti,38
ulepšati,38
žrtvovati,38
osvežiti,38
parceti,38
rastati,38
poricati,38
prititi,38
skloniti,38
izlečiti,38
zvučati,38
stabilizovati,38
proglašavati,38
nazoviti,38
porazgovarati,38
uvažiti,38
percipirati,38
bobovati,38
svratiti,38
spati,38
