base_verb,prefixed_verb,prefix,cos_global_own_fasttext,cos_prefix_own_fasttext,cos_global_own_word2vec_lemmas,cos_prefix_own_word2vec_lemmas,cos_global_own_fasttext_lemmas,cos_prefix_own_fasttext_lemmas,word2vec_minus_fasttext_global_cos,word2vec_minus_fasttext_prefix_cos,fasttext_lemmas_minus_fasttext_global_cos,fasttext_lemmas_minus_fasttext_prefix_cos,fasttext_lemmas_minus_word2vec_lemmas_global_cos,fasttext_lemmas_minus_word2vec_lemmas_prefix_cos
nositi,podnositi,pod,0.8306584358215332,0.9253188967704772,0.940666437149048,0.9493791460990906,0.974016547203064,0.9755120277404784,0.11000800132751476,0.024060249328613392,0.14335811138153076,0.05019313097000122,0.033350110054016,0.02613288164138783
raditi,izraditi,iz,0.8525872230529785,0.9140960574150084,0.9200067520141602,0.9452187418937684,0.9881066679954528,0.99160498380661,0.06741952896118164,0.031122684478759988,0.13551944494247425,0.07750892639160156,0.06809991598129261,0.046386241912841575
raditi,preraditi,pre,0.8434855341911316,0.9089107513427734,0.94550222158432,0.9817195534706116,0.9885927438735962,0.9938468933105468,0.10201668739318837,0.07280880212783813,0.1451072096824646,0.08493614196777333,0.043090522289276234,0.012127339839935192
raditi,razraditi,raz,0.8527653813362122,0.9375268220901488,0.945415735244751,0.9814321994781494,0.990732192993164,0.9944113492965698,0.09265035390853882,0.0439053773880006,0.1379668116569518,0.05688452720642101,0.045316457748412975,0.01297914981842041
raditi,uraditi,u,0.8901490569114685,0.9216312766075134,0.8838551640510559,0.898597002029419,0.979920506477356,0.9805275797843932,-0.006293892860412598,-0.023034274578094482,0.08977144956588745,0.05889630317687977,0.09606534242630005,0.08193057775497425
raditi,zaraditi,za,0.8686850666999817,0.9147121906280518,0.9590597748756408,0.938774347305298,0.9963006377220154,0.9891599416732788,0.09037470817565907,0.024062156677246205,0.1276155710220337,0.07444775104522705,0.03724086284637462,0.050385594367980846
voditi,dovoditi,do,0.9101079106330872,0.9482650756835938,0.9841161370277404,0.98515522480011,0.9886388182640076,0.9878501296043396,0.07400822639465321,0.036890149116516224,0.07853090763092041,0.03958505392074585,0.004522681236267201,0.0026949048042296253
voditi,izvoditi,iz,0.8477519750595093,0.7979028820991516,0.9953171610832214,0.9910142421722412,0.983305811882019,0.9744765162467957,0.14756518602371216,0.1931113600730896,0.13555383682250977,0.17657363414764404,-0.012011349201202393,-0.016537725925445557
voditi,navoditi,na,0.9226284623146056,0.94742614030838,0.907184898853302,0.9227176308631896,0.9907549619674684,0.9861845970153807,-0.0154435634613036,-0.02470850944519043,0.06812649965286277,0.03875845670700073,0.08357006311416637,0.06346696615219116
voditi,prevoditi,pre,0.8245530724525452,0.9121289849281312,0.9525228142738342,0.9418956637382508,0.9828867316246032,0.983915150165558,0.12796974182128906,0.02976667881011963,0.158333659172058,0.07178616523742676,0.030363917350768932,0.04201948642730713
voditi,provoditi,pro,0.8353973627090454,0.8097773790359497,0.8959035277366638,0.9109112024307252,0.9818635582923888,0.9914063811302184,0.06050616502761841,0.1011338233947755,0.1464661955833434,0.1816290020942687,0.08596003055572499,0.08049517869949319
voditi,razvoditi,raz,0.8724843263626099,0.9362961053848268,0.9733533263206482,0.9936133623123168,0.97773277759552,0.9807211756706238,0.10086899995803833,0.05731725692749001,0.10524845123291016,0.04442507028579701,0.004379451274871826,-0.012892186641693004
voditi,uvoditi,u,0.928848683834076,0.953753650188446,0.9933397173881532,0.9893956780433656,0.992849051952362,0.9929322004318236,0.06449103355407715,0.035642027854919545,0.06400036811828591,0.039178550243377575,-0.0004906654357912377,0.00353652238845803
